,Symbol,Security,GICS Sector
451,TFC,Truist Financial,Financials
452,TWTR,Twitter,Communication Services
453,TYL,Tyler Technologies,Information Technology
454,TSN,Tyson Foods,Consumer Staples
455,UDR,UDR,Real Estate
456,ULTA,Ulta Beauty,Consumer Discretionary
457,USB,U.S. Bancorp,Financials
458,UAA,Under Armour (Class A),Consumer Discretionary
459,UA,Under Armour (Class C),Consumer Discretionary
460,UNP,Union Pacific,Industrials
461,UAL,United Airlines,Industrials
462,UNH,UnitedHealth Group,Health Care
463,UPS,United Parcel Service,Industrials
464,URI,United Rentals,Industrials
465,UHS,Universal Health Services,Health Care
466,VLO,Valero Energy,Energy
467,VTR,Ventas,Real Estate
468,VRSN,Verisign,Information Technology
469,VRSK,Verisk Analytics,Industrials
470,VZ,Verizon Communications,Communication Services
471,VRTX,Vertex Pharmaceuticals,Health Care
472,VFC,VF Corporation,Consumer Discretionary
473,VIAC,ViacomCBS,Communication Services
474,VTRS,Viatris,Health Care
475,V,Visa,Information Technology
476,VNO,Vornado Realty Trust,Real Estate
477,VMC,Vulcan Materials,Materials
478,WRB,W. R. Berkley Corporation,Financials
479,WAB,Wabtec,Industrials
480,WMT,Walmart,Consumer Staples
481,WBA,Walgreens Boots Alliance,Consumer Staples
482,DIS,The Walt Disney Company,Communication Services
483,WM,Waste Management,Industrials
484,WAT,Waters Corporation,Health Care
485,WEC,WEC Energy Group,Utilities
486,WFC,Wells Fargo,Financials
487,WELL,Welltower,Real Estate
488,WST,West Pharmaceutical Services,Health Care
489,WDC,Western Digital,Information Technology
490,WU,Western Union,Information Technology
491,WRK,WestRock,Materials
492,WY,Weyerhaeuser,Real Estate
493,WHR,Whirlpool Corporation,Consumer Discretionary
494,WMB,Williams Companies,Energy
495,WLTW,Willis Towers Watson,Financials
496,WYNN,Wynn Resorts,Consumer Discretionary
497,XEL,Xcel Energy,Utilities
498,XLNX,Xilinx,Information Technology
499,XYL,Xylem,Industrials
500,YUM,Yum! Brands,Consumer Discretionary
501,ZBRA,Zebra Technologies,Information Technology
502,ZBH,Zimmer Biomet,Health Care
503,ZION,Zions Bancorp,Financials
504,ZTS,Zoetis,Health Care
